label,confidence,xmin,ymin,xmax,ymax
0,0.9925323724746704,1132,295,1194,359
0,0.9688206911087036,430,754,490,814
0,0.9467329978942871,418,354,464,398
0,0.9334985017776489,422,685,477,741
0,0.9074055552482605,412,736,473,795
0,0.9044667482376099,363,608,408,653
0,0.8993971347808838,793,58,838,105
0,0.8969132304191589,1168,420,1215,463
0,0.8968130350112915,1122,247,1181,305
0,0.8907142877578735,1172,323,1232,390
0,0.8899676203727722,342,801,389,848
0,0.8848332762718201,289,825,339,872
0,0.8736929297447205,997,716,1042,764
0,0.8639885187149048,940,501,987,549
0,0.8616944551467896,600,39,641,78
0,0.849944531917572,239,98,283,143
0,0.8484397530555725,1160,567,1219,622
0,0.8471210598945618,262,160,304,204
0,0.8462967276573181,417,769,478,828
0,0.8437988758087158,0,113,39,165
0,0.8425760865211487,757,82,810,136
0,0.840477705001831,1120,362,1182,426
0,0.8308538198471069,514,827,570,873
0,0.8282293677330017,364,726,406,773
0,0.8271232843399048,1191,660,1245,718
0,0.8256496787071228,958,557,1001,602
0,0.8246219754219055,949,694,994,741
0,0.8225647807121277,1249,0,1284,45
0,0.815641462802887,387,505,462,593
0,0.8104531168937683,1208,92,1249,134
0,0.8057859539985657,709,145,751,184
0,0.7918675541877747,582,74,621,116
0,0.7881608605384827,326,299,371,345
0,0.7840099930763245,237,520,279,564
0,0.7835149765014648,410,821,457,869
0,0.781122624874115,576,91,614,130
0,0.77884840965271,704,233,745,274
0,0.7761688232421875,73,586,120,635
0,0.7731257677078247,164,622,206,664
0,0.770589292049408,1031,636,1070,676
0,0.7687321901321411,164,721,213,768
0,0.765389084815979,651,239,695,286
0,0.7648101449012756,1190,678,1247,737
0,0.7578367590904236,406,685,460,737
0,0.7568966746330261,1189,388,1234,432
0,0.7557570934295654,1002,536,1054,587
0,0.7546879649162292,1100,188,1159,250
0,0.753765881061554,1177,467,1220,506
0,0.7523485422134399,987,201,1041,259
0,0.747998058795929,58,193,103,239
0,0.7463722229003906,215,111,256,155
0,0.7416189312934875,908,597,957,640
0,0.7347966432571411,922,260,975,314
0,0.7319938540458679,122,1,169,47
0,0.7227999567985535,193,83,238,127
0,0.7203131318092346,888,138,934,185
0,0.719344437122345,677,58,716,101
0,0.7184616923332214,788,16,833,57
0,0.714535653591156,57,741,106,789
0,0.7096376419067383,825,518,865,557
0,0.7048307657241821,331,241,379,287
0,0.704509973526001,266,656,307,698
0,0.7011798620223999,428,551,480,604
0,0.7011563777923584,276,484,316,525
0,0.7009344100952148,1020,596,1064,641
0,0.6952695846557617,855,216,904,265
0,0.6925854682922363,233,37,277,84
0,0.6913653016090393,857,539,900,582
0,0.6860418915748596,1004,769,1052,816
0,0.6803506016731262,39,76,84,120
0,0.677780270576477,173,566,214,607
0,0.675747275352478,182,470,228,516
0,0.6743804216384888,123,53,168,98
0,0.6740412712097168,295,510,347,562
0,0.6729080677032471,1082,144,1135,196
0,0.6674429178237915,976,804,1025,853
0,0.6591310501098633,1000,74,1048,120
0,0.6579857468605042,670,68,708,108
0,0.6575866341590881,1028,127,1082,175
0,0.6574687361717224,968,793,1017,842
0,0.6573458909988403,1182,346,1242,405
0,0.6560340523719788,227,1,272,36
0,0.6549913883209229,316,164,358,206
0,0.6533113121986389,979,828,1025,871
