label,confidence,xmin,ymin,xmax,ymax
0,0.9888466000556946,18,32,42,56
0,0.9876806139945984,48,25,76,53
0,0.9856405854225159,23,81,48,108
0,0.9773896932601929,339,350,364,375
0,0.9752898812294006,31,365,59,394
0,0.9693060517311096,341,144,367,169
0,0.9647107720375061,0,493,24,520
0,0.9646795392036438,660,268,683,292
0,0.9632422924041748,193,465,218,491
0,0.962775468826294,62,216,89,243
0,0.9613230228424072,368,130,393,155
0,0.9598466157913208,193,501,218,527
0,0.9573089480400085,34,197,61,224
0,0.9571130275726318,82,523,108,549
0,0.9560815095901489,35,331,61,357
0,0.9556587934494019,33,436,57,460
0,0.9554253220558167,845,217,870,243
0,0.9546749591827393,57,328,83,354
0,0.9538734555244446,719,128,745,155
0,0.9509764909744263,298,451,323,476
0,0.9500332474708557,320,80,345,105
0,0.9500088095664978,25,115,51,141
0,0.9494792819023132,357,12,384,37
0,0.9489686489105225,691,82,715,106
0,0.9469384551048279,916,26,943,53
0,0.9468262195587158,380,44,403,67
0,0.9462634325027466,85,485,111,511
0,0.9455687403678894,63,485,90,513
0,0.9454896450042725,301,146,327,173
0,0.9451380968093872,740,62,766,88
0,0.9426023960113525,270,195,297,223
0,0.941652238368988,43,47,69,73
0,0.9413723349571228,688,286,714,312
0,0.940497875213623,809,13,835,38
0,0.9399105310440063,866,217,891,243
0,0.9398344159126282,749,285,777,312
0,0.9388594627380371,146,13,174,42
0,0.9376605749130249,69,296,100,326
0,0.9371693730354309,84,180,110,207
0,0.936755359172821,152,297,180,324
0,0.9357128739356995,41,520,68,548
0,0.9347326755523682,126,453,152,480
0,0.9340600967407227,688,117,713,141
0,0.9328522682189941,838,96,862,120
0,0.9327186942100525,689,252,716,279
0,0.9323921203613281,133,434,159,461
0,0.9323295950889587,555,215,579,240
0,0.9316055178642273,302,79,327,106
0,0.930393397808075,319,314,348,342
0,0.9303869605064392,619,33,644,58
0,0.9292004704475403,125,485,149,510
0,0.928471028804779,950,261,974,289
0,0.9282775521278381,54,365,81,393
0,0.9276804327964783,24,183,50,210
0,0.9260236024856567,368,196,393,222
0,0.9254069924354553,553,180,578,206
0,0.9248663187026978,104,488,130,515
0,0.9247705936431885,83,382,110,409
0,0.9241452813148499,77,330,103,357
0,0.9229646921157837,317,486,342,512
0,0.9228765368461609,301,115,326,140
0,0.9227257370948792,751,147,777,172
0,0.9221814274787903,369,368,394,394
0,0.922107994556427,660,197,683,223
0,0.9212420582771301,410,264,435,289
0,0.9194647669792175,808,252,836,280
0,0.9179982542991638,793,490,817,517
0,0.9163069128990173,746,112,772,138
0,0.915907621383667,357,351,384,379
0,0.9152745604515076,737,435,764,463
0,0.9149782657623291,63,451,90,479
0,0.9143486022949219,94,431,120,458
0,0.9143269658088684,685,419,711,446
0,0.9142025709152222,154,431,179,458
0,0.9141560196876526,757,197,784,224
0,0.9139630794525146,95,26,121,54
0,0.9136483669281006,330,163,355,188
0,0.9135985374450684,696,502,723,530
0,0.9134277701377869,74,401,99,426
0,0.9130382537841797,308,502,334,528
0,0.9128310084342957,746,454,775,486
0,0.9121359586715698,907,78,933,105
0,0.9120787382125854,464,499,488,525
0,0.9119381904602051,339,76,364,102
0,0.911613941192627,291,333,317,358
0,0.9107918739318848,300,419,328,447
0,0.9101668000221252,114,434,141,461
0,0.9092875123023987,769,523,793,549
0,0.9090543985366821,700,232,725,256
0,0.9087051749229431,772,180,798,205
0,0.9085094332695007,896,336,922,363
0,0.90765780210495,0,253,23,278
0,0.9066463708877563,650,116,674,140
0,0.9063881039619446,601,365,626,392
0,0.9059377312660217,778,231,803,257
0,0.9056805968284607,638,336,665,364
0,0.9046481847763062,621,232,648,259
0,0.9044058322906494,42,384,68,412
0,0.9039779305458069,827,216,851,241
0,0.9038990139961243,878,202,903,228
0,0.9037739634513855,406,367,432,393
0,0.9036095142364502,31,265,58,292
0,0.9035795331001282,201,482,227,510
0,0.9028425216674805,51,263,80,293
0,0.9016825556755066,796,435,823,462
0,0.9006141424179077,251,431,278,458
0,0.9004711508750916,873,401,898,426
0,0.8991460800170898,786,384,811,410
0,0.8991056084632874,848,179,874,208
0,0.8987260460853577,651,18,675,40
0,0.8986077308654785,717,437,742,462
0,0.8985881805419922,143,485,169,513
0,0.8966755867004395,224,214,250,242
0,0.8964991569519043,777,502,802,528
0,0.8958439826965332,74,57,101,85
0,0.8954947590827942,458,454,484,479
