label,confidence,xmin,ymin,xmax,ymax
0,0.9887900948524475,389,122,428,162
0,0.9732484817504883,767,361,804,400
0,0.9721565842628479,455,135,495,171
0,0.9712583422660828,56,640,98,678
0,0.965802013874054,723,137,764,178
0,0.9615282416343689,867,318,907,358
0,0.9612955451011658,15,603,56,645
0,0.9573847055435181,852,552,888,590
0,0.9551499485969543,92,483,128,520
0,0.9549075961112976,338,570,379,609
0,0.9535796046257019,208,307,242,341
0,0.9534807205200195,612,109,655,151
0,0.9527143239974976,1262,389,1299,426
0,0.9517229199409485,721,28,760,69
0,0.9508175253868103,707,162,751,207
0,0.9478451609611511,62,613,103,651
0,0.9477536082267761,962,181,1001,220
0,0.9473674297332764,477,0,517,38
0,0.9472090005874634,791,348,829,387
0,0.9465153813362122,763,652,803,693
0,0.9454397559165955,923,629,963,668
0,0.9442403316497803,375,434,414,474
0,0.9430229663848877,125,467,164,507
0,0.9426131248474121,951,449,991,491
0,0.9421536326408386,138,437,177,477
0,0.9398989081382751,973,634,1009,671
0,0.9380282163619995,728,695,770,730
0,0.9377043843269348,986,221,1025,261
0,0.9375666975975037,632,370,671,409
0,0.9374053478240967,34,416,73,458
0,0.9365119338035583,1293,3,1332,39
0,0.9360390901565552,1227,685,1266,723
0,0.935800313949585,868,636,906,674
0,0.9356606602668762,785,635,823,675
0,0.9353433847427368,1198,653,1238,691
0,0.93487948179245,176,296,215,338
0,0.9341381192207336,1156,380,1194,417
0,0.9336937665939331,738,191,779,232
0,0.9332713484764099,1012,239,1049,277
0,0.9324324727058411,913,476,952,515
0,0.9324136972427368,713,95,754,137
0,0.932358980178833,838,410,879,454
0,0.9322134256362915,862,527,899,564
0,0.931793212890625,994,1,1035,35
0,0.9313328862190247,772,7,809,47
0,0.9305675625801086,22,280,63,322
0,0.9297706484794617,962,26,1001,63
0,0.9293919801712036,880,431,919,472
0,0.9289239645004272,118,603,158,644
0,0.9275724291801453,877,230,917,272
0,0.9273185729980469,666,373,704,411
0,0.927017867565155,956,399,994,437
0,0.9268905520439148,373,535,411,572
0,0.9266796112060547,618,239,657,277
0,0.9262069463729858,509,111,547,149
0,0.9259182214736938,1291,612,1328,651
0,0.925041139125824,426,117,465,155
0,0.9246938228607178,556,397,594,435
0,0.9246262907981873,533,532,572,571
0,0.9245837926864624,1086,586,1124,625
0,0.9242984652519226,593,17,630,56
0,0.9240087866783142,1040,396,1077,432
0,0.9239979386329651,1313,688,1353,728
0,0.9221981167793274,964,235,1000,272
0,0.9209943413734436,492,225,532,265
0,0.9208930730819702,576,580,614,618
0,0.9207002520561218,958,320,997,361
0,0.9205173254013062,447,69,486,106
0,0.9205090999603271,123,414,159,451
0,0.9204443097114563,900,277,939,317
0,0.9202383756637573,517,661,554,697
0,0.9201829433441162,948,294,986,332
0,0.9197412133216858,116,22,153,60
0,0.9192489385604858,760,172,801,212
0,0.9192357659339905,1021,37,1057,73
0,0.9189907908439636,368,174,410,217
0,0.9165794253349304,905,355,943,394
0,0.9150766730308533,799,311,834,350
0,0.9148789644241333,542,41,578,76
0,0.9141613841056824,80,94,121,135
0,0.9139570593833923,1162,224,1204,265
0,0.91281658411026,1203,522,1240,560
0,0.9127588868141174,0,59,38,99
0,0.9122632145881653,473,274,513,313
0,0.9118553996086121,881,550,920,589
0,0.9118316769599915,1331,304,1353,339
0,0.9112259149551392,1274,596,1308,632
0,0.9106770157814026,1011,268,1048,306
0,0.910149872303009,853,246,892,287
0,0.9096454381942749,49,2,86,36
0,0.9095088839530945,124,147,160,185
0,0.9091073274612427,1159,15,1195,51
0,0.9086951613426208,124,645,160,682
0,0.908243715763092,146,600,181,636
0,0.9071817398071289,715,374,752,411
0,0.9070107340812683,709,673,746,711
0,0.9068414568901062,569,675,607,713
0,0.9057179689407349,375,623,414,663
0,0.9053829312324524,500,625,536,661
0,0.9053542017936707,332,648,366,683
0,0.9050480127334595,1097,371,1137,411
0,0.9048094153404236,997,600,1033,636
0,0.9047555923461914,1279,26,1317,63
0,0.9047170281410217,901,406,939,446
0,0.9044821858406067,379,148,418,187
0,0.9029180407524109,1198,218,1235,256
0,0.9028253555297852,422,657,461,695
0,0.9027891755104065,666,3,703,41
0,0.9025192856788635,421,690,459,729
0,0.9022958874702454,516,177,552,213
0,0.9022736549377441,868,363,907,403
0,0.9021817445755005,485,587,522,624
0,0.9019982814788818,1023,606,1061,645
0,0.9017616510391235,1263,2,1300,34
0,0.8997498750686646,845,155,884,199
0,0.8995051980018616,903,309,940,346
0,0.8992674946784973,937,348,976,387
0,0.8981848955154419,739,448,776,487
0,0.8980920910835266,313,398,352,438
0,0.8980283737182617,910,234,948,272
0,0.8978495597839355,63,151,102,191
0,0.8975772261619568,141,37,178,74
0,0.8973389863967896,799,178,839,220
0,0.8972889184951782,1083,631,1120,669
0,0.8971718549728394,0,564,36,605
0,0.8963744640350342,790,90,832,134
0,0.8963087797164917,928,690,968,730
0,0.8962610363960266,807,5,845,43
0,0.8960471749305725,129,579,165,614
0,0.8960361480712891,480,177,519,214
0,0.8956337571144104,1053,571,1091,608
0,0.894343912601471,617,599,653,636
0,0.8939719796180725,1151,439,1189,477
0,0.8938028812408447,729,479,771,521
0,0.8937704563140869,677,126,715,164
0,0.8933773040771484,1322,112,1353,155
0,0.8931492567062378,874,99,909,136
0,0.8930820226669312,582,626,619,665
0,0.8930160403251648,33,364,74,404
0,0.8929519653320312,652,397,691,437
0,0.8925072550773621,743,381,781,420
0,0.8922741413116455,902,213,937,248
0,0.8915213346481323,441,527,476,560
0,0.8913416266441345,400,276,440,315
0,0.8908544778823853,872,170,910,210
0,0.890820324420929,764,213,804,256
0,0.8902045488357544,181,412,220,450
0,0.8900773525238037,908,35,945,74
0,0.889827311038971,304,691,341,727
0,0.8897485733032227,619,480,655,517
0,0.88947594165802,94,157,131,197
0,0.8891243934631348,972,608,1008,644
0,0.8890964984893799,494,299,534,340
0,0.8888252377510071,149,413,185,449
0,0.888289749622345,310,606,348,644
0,0.8882056474685669,841,217,880,258
0,0.8881193995475769,1325,8,1353,44
0,0.8881011605262756,831,133,867,172
0,0.8880588412284851,872,468,909,506
0,0.8879978060722351,555,631,593,669
0,0.8878977298736572,933,214,974,254
0,0.8875986337661743,864,499,899,536
0,0.8875554800033569,1016,428,1055,465
