label,confidence,xmin,ymin,xmax,ymax
0,0.9808789491653442,389,122,428,162
0,0.979909360408783,56,640,98,678
0,0.9774659872055054,455,135,494,171
0,0.970812201499939,723,137,764,178
0,0.9705719947814941,1262,389,1299,426
0,0.9686337113380432,339,570,378,609
0,0.9682533144950867,721,28,760,68
0,0.9668882489204407,866,319,906,358
0,0.9639312028884888,767,361,804,400
0,0.9624893665313721,15,603,57,646
0,0.9624525308609009,139,438,178,478
0,0.9606357216835022,476,0,517,38
0,0.9537603855133057,852,552,888,590
0,0.9528965950012207,963,181,1001,219
0,0.9526680111885071,791,348,828,387
0,0.9523948431015015,707,162,751,207
0,0.9510053396224976,22,279,63,322
0,0.9501028060913086,1292,3,1331,39
0,0.9498663544654846,950,449,990,491
0,0.9497600793838501,913,476,951,515
0,0.9492385387420654,91,484,128,520
0,0.949205756187439,868,636,906,674
0,0.9483067393302917,728,695,770,730
0,0.9482468962669373,613,108,655,150
0,0.9476007223129272,760,172,801,212
0,0.9463988542556763,880,431,919,472
0,0.9462616443634033,994,1,1035,35
0,0.9459275603294373,125,466,164,508
0,0.9458065629005432,1198,654,1239,691
0,0.9446989297866821,713,95,755,136
0,0.9446786642074585,1083,631,1120,669
0,0.9433542490005493,376,434,414,474
0,0.9431604743003845,1330,304,1353,339
0,0.9430847764015198,1012,239,1049,277
0,0.9429561495780945,739,191,779,232
0,0.9428229928016663,121,414,158,452
0,0.9419263005256653,534,532,572,571
0,0.9418308734893799,373,535,411,572
0,0.9411269426345825,948,295,987,332
0,0.9410523772239685,62,613,103,651
0,0.9392225742340088,986,222,1024,262
0,0.9390988945960999,34,416,73,458
0,0.9390503168106079,1291,612,1328,651
0,0.9389530420303345,175,296,215,337
0,0.938450038433075,368,174,410,217
0,0.9382725954055786,632,370,671,409
0,0.937883734703064,207,307,243,341
0,0.9374238848686218,518,661,554,697
0,0.9371616840362549,785,635,823,674
0,0.9360955357551575,79,94,120,135
0,0.9360818862915039,115,22,153,60
0,0.935468852519989,510,111,548,148
0,0.9348270297050476,845,155,885,199
0,0.9340671300888062,838,411,879,454
0,0.933502197265625,593,17,631,56
0,0.9322895407676697,964,235,1000,273
0,0.9321506023406982,1313,688,1353,728
0,0.9318575859069824,124,645,160,683
0,0.9314600229263306,492,225,532,266
0,0.9306195974349976,972,635,1010,672
0,0.9300968647003174,420,689,459,729
0,0.9294717907905579,962,26,1001,64
0,0.9292502403259277,772,7,809,46
0,0.9279189705848694,527,632,564,670
0,0.9267269372940063,1203,522,1240,560
0,0.9265775084495544,740,548,782,586
0,0.9265754818916321,427,117,465,154
0,0.9265233874320984,901,405,940,446
0,0.9262896180152893,998,599,1033,635
0,0.9260344505310059,542,41,579,76
0,0.925842821598053,556,397,594,436
0,0.9256841540336609,118,604,157,645
0,0.9256342649459839,618,239,658,277
0,0.9254950881004333,1086,586,1124,625
0,0.9254369139671326,901,277,939,317
0,0.9253703951835632,124,146,160,185
0,0.9249752759933472,1159,15,1195,51
0,0.9248024225234985,791,90,832,133
0,0.9246751666069031,1021,36,1057,72
0,0.9246079325675964,1208,165,1246,203
0,0.9243336319923401,447,69,485,105
0,0.9232659339904785,923,629,963,668
0,0.9231019616127014,763,652,803,694
0,0.9225927591323853,666,3,703,41
0,0.9225194454193115,64,151,103,191
0,0.9211599230766296,575,581,613,619
0,0.9206015467643738,877,231,917,272
0,0.9201263785362244,423,657,461,694
0,0.9199577569961548,1010,268,1048,306
0,0.9196351766586304,440,526,477,561
0,0.9189180731773376,1274,597,1308,633
0,0.9188318848609924,2,166,37,207
0,0.9174821972846985,764,213,805,257
0,0.9169223308563232,667,150,707,190
0,0.9168265461921692,1322,112,1353,154
0,0.9165040254592896,666,372,705,411
0,0.9164223074913025,799,178,839,220
0,0.9160797595977783,485,587,521,624
0,0.9145731329917908,1226,684,1266,723
0,0.9144514799118042,0,59,38,99
0,0.9143304824829102,937,349,976,387
